GME,GME,GME,GME,GME,GME,GME,AMC,AMC,AMC,AMC,AMC,AMC,AMC,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,BBBY,BBBY,BBBY,BBBY,BBBY,BBBY,BBBY,HOOD,HOOD,HOOD,HOOD,HOOD,HOOD,HOOD,BB,BB,BB,BB,BB,BB,BB,PLTR,PLTR,PLTR,PLTR,PLTR,PLTR,PLTR,NOK,NOK,NOK,NOK,NOK,NOK,NOK,SPCE,SPCE,SPCE,SPCE,SPCE,SPCE,SPCE
open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap,open,high,low,close,volume,trade_count,vwap
4.02,4.12,3.95,4.01,2472696,10474,4.033349,4.01,4.03,3.81,3.87,2980499,16861,3.897738,1434.54,1547.94,1413.0003,1539.6,16048671,497219,1478.906252,10.14,10.605,10.09,10.53,8995969,44152,10.420699,,,,,,,,4.65,4.7,4.56,4.69,2975576.0,6734.0,4.631416,,,,,,,,4.32,4.37,4.32,4.34,21065909,33402,4.344734,24.97,25.68,23.77,24.92,17168399.0,87752.0,24.764301
3.96,4.049,3.92,3.94,4555392,10233,3.988697,3.85,4.25,3.84,4.15,6226584,25920,4.228496,1500.0,1564.7,1474.42,1476.49,15808711,464088,1515.627757,10.46,10.805,10.33,10.35,7753752,37560,10.567809,,,,,,,,4.7,4.7375,4.62,4.66,2635228.0,6406.0,4.67441,,,,,,,,4.3,4.33,4.26,4.28,19863419,30363,4.28928,25.2,25.8,23.6,23.86,23163180.0,109733.0,24.77054
3.94,4.18,3.92,4.06,2879626,13321,4.059382,4.07,4.2,3.95,4.16,5489414,22091,4.067231,1501.0,1534.81,1487.0,1499.11,9426893,287326,1510.365008,10.37,10.85,10.37,10.85,5727984,35014,10.625678,,,,,,,,4.73,4.91,4.68,4.87,3937168.0,7837.0,4.820555,,,,,,,,4.31,4.36,4.3026,4.34,15453397,27151,4.341413,23.75,24.28,22.63,22.97,14253925.0,80520.0,23.180567
4.0,4.23,3.97,4.1,2398485,10580,4.102416,4.12,4.34,4.06,4.12,3699061,17524,4.165894,1488.0,1513.24,1471.0,1487.49,7621111,241686,1492.525917,10.84,11.54,10.69,10.96,14331022,71927,11.153974,,,,,,,,4.77,4.83,4.68,4.74,3197502.0,8534.0,4.763512,,,,,,,,4.23,4.53,4.16,4.45,58415891,70311,4.349542,22.29,23.4,21.91,22.88,9228726.0,51929.0,22.780638
4.06,4.16,3.99,4.01,1880453,8151,4.037239,4.08,4.15,3.95,4.04,2595976,12314,4.024726,1516.02,1517.05,1420.98,1430.76,12247338,405814,1455.645016,11.07,11.14,10.5,10.82,8847741,40971,10.741332,,,,,,,,4.75,4.78,4.65,4.74,2165912.0,6112.0,4.714625,,,,,,,,4.86,4.95,4.635,4.78,118084817,121459,4.82203,23.1,23.4,22.08,22.45,7182647.0,47101.0,22.556189
4.03,4.25,3.995,4.15,2518010,12040,4.130322,4.05,4.195,3.86,4.11,4048779,17277,4.029985,1450.21,1509.8101,1444.3844,1485.0,8809359,298393,1484.919242,10.85,11.2,10.7,11.05,6116385,35006,10.992774,,,,,,,,4.73,4.75,4.6679,4.74,1906333.0,5344.0,4.718654,,,,,,,,4.96,5.13,4.9401,5.06,62489374,76856,5.050513,23.52,24.3,22.66,24.02,22211849.0,126848.0,23.301477
4.13,4.7375,4.13,4.43,10361593,38551,4.527379,4.07,4.24,4.06,4.1,3267863,14392,4.154573,1496.02,1527.41,1462.0,1487.0,8410015,259290,1488.33885,11.0,11.44,10.99,11.43,4722913,28805,11.263786,,,,,,,,4.74,4.765,4.66,4.75,3146674.0,8070.0,4.72015,,,,,,,,5.05,5.14,5.01,5.1,42735128,54468,5.083359,21.86,22.18,20.68,20.72,23459686.0,153642.0,21.161821
4.5,4.76,4.245,4.63,4925697,21688,4.555984,4.08,4.17,4.07,4.15,1702312,9660,4.117067,1493.01,1499.8384,1468.31,1485.02,4978015,178469,1484.955367,11.62,11.81,11.37,11.77,5154615,28428,11.644527,,,,,,,,4.79,4.86,4.75,4.84,2314572.0,6610.0,4.826726,,,,,,,,5.07,5.1,4.99,5.0,36336472,48516,5.044912,20.15,20.68,19.31,20.15,17072229.0,104393.0,19.979317
4.6,4.655,4.3801,4.43,1901224,9669,4.483738,4.08,4.24,3.99,4.14,3742639,14922,4.120375,1490.83,1517.31,1477.26,1489.58,5992313,203242,1493.995022,11.77,12.12,11.62,12.0,5585969,32195,11.886404,,,,,,,,4.81,5.07,4.76,4.96,5436453.0,10794.0,4.954948,,,,,,,,4.99,5.01,4.95,5.0,30262580,46449,4.97895,19.8,20.0,19.05,19.34,22159632.0,126674.0,19.540412
4.39,4.4,4.06,4.16,3341099,13551,4.180962,4.14,5.26,4.09,4.75,24917444,74657,4.762896,1499.75,1499.75,1415.01,1452.71,8897817,337755,1452.516315,11.96,12.21,11.69,12.11,9579424,41499,11.966103,,,,,,,,4.97,5.155,4.81,4.84,5364623.0,12015.0,4.972733,,,,,,,,4.95,4.99,4.93,4.98,21405341,32451,4.96167,19.1,19.3,18.13,18.25,19625958.0,123207.0,18.620776
4.2,4.57,4.18,4.33,4561772,18306,4.359806,4.61,4.74,4.35,4.47,5049156,22383,4.487175,1445.25,1457.5,1385.84,1418.57,7522264,301165,1419.630988,12.22,12.89,12.22,12.66,8945727,51061,12.632646,,,,,,,,4.84,4.925,4.77,4.84,2386810.0,7476.0,4.829202,,,,,,,,4.97,4.97,4.88,4.91,21177600,32888,4.919426,18.5,19.52,18.42,19.23,12463782.0,73950.0,19.130332
4.43,4.57,4.34,4.35,3139105,12045,4.430708,4.7,4.85,4.54,4.56,5794835,25810,4.719689,1397.85,1420.0,1365.0,1374.39,8625840,359160,1403.98578,12.11,12.82,11.88,11.93,11863281,68635,12.411123,,,,,,,,4.86,4.9,4.76,4.79,3280094.0,8240.0,4.842696,,,,,,,,4.95,5.05,4.92,4.96,40259299,48231,4.99035,19.55,19.67,18.14,18.28,10638753.0,72065.0,18.827559
4.4,4.63,4.36,4.52,3057594,13393,4.49619,4.59,4.76,4.56,4.64,2466462,12778,4.649131,1469.98,1585.0,1435.0,1554.76,21899106,805729,1517.192307,12.22,12.29,11.69,12.12,6002760,40841,11.942609,,,,,,,,4.79,4.8901,4.79,4.82,1893976.0,5569.0,4.8362,,,,,,,,5.05,5.08,5.01,5.05,21697774,29724,5.052664,18.34,18.44,17.81,18.16,8580103.0,58558.0,18.160048
4.52,4.71,4.4966,4.64,2128313,9375,4.614354,5.05,5.77,4.82,5.31,23259216,95720,5.337036,1613.73,1651.18,1567.26,1621.0,20426710,710149,1620.107048,12.15,12.47,12.0,12.34,4613992,30837,12.275651,,,,,,,,4.81,4.95,4.81,4.89,2495559.0,5845.0,4.89777,,,,,,,,5.01,5.08,5.0,5.06,21989576,27092,5.04876,18.2,19.48,18.02,18.77,15602673.0,76971.0,18.949792
4.6,4.83,4.545,4.75,3474692,12711,4.721004,5.53,5.63,5.05,5.54,12055836,56195,5.422303,1664.99,1668.8,1626.64,1650.71,12577786,440108,1647.8873,12.26,12.485,12.0449,12.35,3630807,25828,12.331876,,,,,,,,4.88,4.9,4.75,4.8,2574812.0,6565.0,4.795339,,,,,,,,5.0,5.02,4.97,5.0,18991855,29705,4.989932,18.8,19.09,18.28,18.55,7924616.0,55677.0,18.498001
4.78,4.78,4.555,4.63,2370970,11422,4.637592,5.68,5.85,5.427,5.6,7159171,38119,5.600599,1677.86,1845.86,1672.83,1835.64,20242597,759258,1776.834207,12.45,12.945,12.15,12.87,6443248,35578,12.691356,,,,,,,,4.79,4.85,4.77,4.81,1842279.0,5652.0,4.803068,,,,,,,,5.04,5.09,5.01,5.07,24050162,33972,5.052602,18.5,18.73,17.24,18.17,15575534.0,85954.0,17.902887
4.61,4.87,4.435,4.81,3834840,15374,4.707907,5.53,5.57,5.13,5.35,5790682,30809,5.340234,1900.0,1923.9,1845.11,1887.09,16481492,657450,1891.500607,12.79,12.8,12.06,12.2,6857614,38104,12.32671,,,,,,,,4.82,4.855,4.74,4.79,2432902.0,6321.0,4.782008,,,,,,,,5.13,5.14,5.03,5.09,18339868,27587,5.07232,18.01,18.37,17.48,17.73,9919615.0,57866.0,17.720063
4.8,4.84,4.64,4.72,2612583,10515,4.742604,5.34,5.47,5.18,5.39,5728301,28167,5.401534,1865.0,1911.0,1841.21,1878.53,12205473,485987,1885.762943,12.21,12.66,12.12,12.2,5511660,33677,12.37409,,,,,,,,4.83,4.87,4.7506,4.78,2645862.0,6017.0,4.800716,,,,,,,,5.1,5.11,5.015,5.04,20351206,42696,5.059602,17.68,18.18,17.5,17.53,7690408.0,47548.0,17.788224
4.62,4.68,4.51,4.61,2441184,10665,4.581454,5.55,5.78,5.3,5.69,13728403,51657,5.570667,1859.99,2021.99,1857.06,2001.83,20611934,776244,1970.808055,12.08,12.1,11.46,11.47,7521287,43383,11.635382,,,,,,,,4.74,4.85,4.72,4.83,2103313.0,6293.0,4.813248,,,,,,,,5.0,5.06,4.99,5.05,15366376,25047,5.035491,17.5,17.61,16.86,17.31,11040174.0,65989.0,17.141111
4.6,5.6,4.595,5.03,10642591,37212,5.164529,5.68,5.6828,5.18,5.19,8216874,34787,5.415001,2044.8,2095.49,2025.05,2049.98,21489743,805903,2064.70441,11.47,11.75,11.34,11.67,5713751,35451,11.54575,,,,,,,,4.8,4.835,4.73,4.75,2038166.0,5912.0,4.759662,,,,,,,,4.95,5.0,4.94,4.97,15015135,33690,4.972401,17.2,17.6,16.77,16.87,8947404.0,55771.0,17.022462
5.1,5.13,4.56,4.87,4585366,21143,4.782897,5.34,5.45,4.9378,5.41,8498191,33299,5.213659,2128.1,2129.0,1927.52,2014.2,20073326,853714,2025.345351,11.86,12.37,11.57,12.265,8143949,39103,12.145761,,,,,,,,4.8,4.84,4.742,4.79,2528378.0,6583.0,4.792359,,,,,,,,5.05,5.055,5.0,5.03,12604414,22015,5.025839,17.0,17.7,16.722,17.63,9519784.0,56846.0,17.298678
4.88,5.25,4.88,4.98,2998678,14395,5.037645,5.46,5.58,5.21,5.54,5296893,24846,5.429807,1974.89,2027.95,1968.0,2023.34,10658909,431470,1998.821055,12.34,12.47,12.05,12.32,5193501,28395,12.286713,,,,,,,,4.8,4.88,4.77,4.78,2470462.0,7356.0,4.800998,,,,,,,,5.06,5.075,5.0,5.04,13587397,23337,5.030533,17.73,17.84,17.13,17.49,6591651.0,43250.0,17.357335
4.97,5.22,4.9199,5.11,2779664,14087,5.113367,5.45,5.67,5.33,5.6,4419399,24435,5.567929,2060.0,2166.0,2053.6291,2153.17,14239384,579503,2121.705807,12.23,12.61,12.14,12.18,5023519,28087,12.324527,,,,,,,,4.83,5.21,4.8,5.08,7740960.0,17859.0,5.061398,,,,,,,,5.05,5.07,5.02,5.05,19752385,28180,5.048067,17.48,18.5,17.2301,17.34,13362962.0,69188.0,17.856186
5.11,5.3799,5.02,5.25,3384658,14263,5.186954,5.7,7.1,5.7,6.52,31921159,123990,6.472204,2181.99,2295.6,2142.5,2238.75,23693083,919218,2224.860379,12.15,12.25,11.61,11.91,5959322,31728,11.872098,,,,,,,,5.15,5.17,4.975,5.03,3544302.0,9706.0,5.057868,,,,,,,,5.02,5.05,4.96,5.01,25348574,34854,5.010716,17.55,17.65,16.85,17.28,8927346.0,54672.0,17.143341
5.3,5.565,5.215,5.39,4236926,17684,5.400887,6.45,6.54,6.11,6.3,9903997,41342,6.270986,2297.67,2318.49,2186.52,2213.4,20146652,870344,2250.325986,12.06,12.46,11.925,12.085,5894117,32485,12.197296,,,,,,,,5.13,5.295,5.1,5.23,3993943.0,10861.0,5.20458,,,,,,,,4.99,5.02,4.93,4.97,20820157,29305,4.974973,17.34,17.56,17.11,17.46,5010450.0,33052.0,17.37416
5.84,7.15,5.69,6.68,37975999,139851,6.60182,6.3,6.45,5.76,5.88,9820238,44699,5.99619,444.89,500.14,440.11,498.32,118424529,2811226,478.525317,12.15,12.245,11.54,12.18,6696914,35927,11.946919,,,,,,,,5.28,5.32,5.15,5.22,4302973.0,11187.0,5.216733,,,,,,,,4.94,4.94,4.86,4.9,22437841,35872,4.895361,18.1,18.26,17.43,17.9,12781367.0,75227.0,17.856944
7.27,7.82,6.77,7.65,23211046,91911,7.363814,5.79,6.18,5.79,6.07,9709376,39367,6.228648,502.29,502.49,470.51,475.05,90270040,2184963,486.601964,12.06,13.26,12.01,13.04,9212252,44390,12.893912,,,,,,,,5.25,5.59,5.21,5.58,6662922.0,15684.0,5.461486,,,,,,,,4.85,4.85,4.68,4.73,49279231,54744,4.75601,17.84,17.92,17.33,17.41,9144628.0,54856.0,17.545049
7.78,8.05,7.11,7.71,13011113,52040,7.627429,7.0,7.71,6.46,7.04,43056236,159608,7.050486,479.0,479.04,405.1206,447.37,96583753,2204982,443.161822,13.13,13.13,12.18,12.435,7048232,36109,12.448407,,,,,,,,5.65,5.6553,5.41,5.52,5100117.0,13738.0,5.497525,,,,,,,,4.75,4.82,4.7,4.78,32145927,37381,4.757596,17.5,17.54,16.33,17.1,13413693.0,79600.0,16.87648
7.9,8.45,7.24,7.82,14344502,62517,7.713687,6.95,7.14,6.4801,6.6,10626796,48788,6.763539,407.12,431.8,402.0,407.0,87635747,1836031,412.393324,12.39,12.605,11.72,11.83,5382243,30899,12.048048,,,,,,,,5.43,5.44,5.13,5.18,5338775.0,13903.0,5.234609,,,,,,,,4.7,4.71,4.47,4.53,63168166,78699,4.562503,16.6,17.19,16.22,16.53,12317781.0,73574.0,16.646938
7.78,7.92,7.17,7.65,7674968,37033,7.596094,6.73,7.02,6.23,7.02,9328807,43360,6.687117,402.7,428.0,372.0201,418.32,110323962,2140716,402.309429,12.04,12.08,11.3,11.75,6091959,41759,11.681642,,,,,,,,5.05,5.195,4.865,5.11,5839583.0,15287.0,5.054472,,,,,,,,4.53,4.54,4.36,4.48,45680178,52847,4.454012,16.53,16.89,14.8601,15.92,15028519.0,94483.0,15.746989
7.55,8.28,7.48,7.7,9816620,43547,7.938277,6.76,6.9471,6.37,6.42,6667449,34677,6.57443,355.5,368.74,329.88,330.21,115477579,2271277,348.010563,11.45,11.655,11.21,11.32,5978466,38245,11.384415,,,,,,,,4.94,5.095,4.91,4.93,3747374.0,11069.0,4.986183,,,,,,,,4.19,4.25,4.1,4.1,67144062,74951,4.169147,16.39,18.25,16.0,17.4,20267088.0,107502.0,17.311552
7.96,7.99,7.31,7.35,9068082,38197,7.324811,6.41,6.54,6.1102,6.26,5578212,28765,6.285254,356.99,369.0,341.51,366.28,79473343,1435186,355.531973,11.46,11.53,11.05,11.42,4771518,30989,11.254357,,,,,,,,5.03,5.06,4.91,4.92,3597561.0,10355.0,4.964421,,,,,,,,4.18,4.22,4.13,4.14,47162653,54066,4.173536,18.18,18.705,17.12,17.71,20204473.0,103569.0,17.729441
6.56,6.95,6.19,6.23,15558278,55219,6.496195,6.28,6.36,5.88,5.94,5881820,26185,6.095431,387.44,398.99,360.56,371.34,84931238,1411329,381.977377,12.03,12.65,11.76,11.98,15614357,83946,12.120074,,,,,,,,4.96,4.98,4.79,4.8,3546285.0,11301.0,4.869413,,,,,,,,4.18,4.195,4.08,4.1,35018315,41268,4.134828,17.81,18.4599,17.29,17.45,12749765.0,68103.0,17.877259
6.26,6.33,5.87,6.09,6061190,25300,6.107558,6.0,6.0656,5.6,5.79,4863006,27781,5.840088,381.9,382.5,360.5,372.72,60717493,904938,370.274151,12.05,12.15,11.64,12.035,4889816,32204,11.949403,,,,,,,,4.86,4.87,4.68,4.75,3690640.0,9587.0,4.749129,,,,,,,,4.14,4.15,4.06,4.1,27316148,37673,4.1074,17.45,17.6,16.33,16.56,12764685.0,71965.0,16.7982
7.0,7.0,6.43,6.91,10119572,37863,6.736075,5.84,5.8703,5.51,5.54,4638082,24728,5.638974,381.21,420.0,373.3,419.62,83021062,1327704,401.179196,12.12,12.8,12.12,12.69,6168663,39105,12.612468,,,,,,,,4.8,4.905,4.7849,4.82,3552366.0,9454.0,4.83955,,,,,,,,4.15,4.15,4.07,4.09,21317994,29579,4.104883,16.74,17.4689,16.6199,17.39,7629580.0,42017.0,17.102699
6.86,7.26,6.685,7.09,5743489,22547,7.03144,5.6,5.87,5.52,5.52,5099315,23486,5.665019,436.95,461.94,430.7,449.76,97298511,1624947,445.450772,12.82,13.04,12.37,12.55,8022181,44953,12.742929,,,,,,,,4.88,4.89,4.79,4.81,2491023.0,7436.0,4.83451,,,,,,,,4.19,4.2,4.13,4.16,24076236,32238,4.163086,17.48,18.08,17.17,17.7,8909104.0,44313.0,17.788465
7.09,9.04,7.03,8.68,19346608,69593,8.2636,5.52,5.875,5.42,5.76,4390816,21847,5.686913,439.74,457.79,435.31,441.76,72554963,1111986,446.735062,12.65,13.13,12.54,12.83,6634600,43744,12.875444,,,,,,,,4.84,4.86,4.73,4.73,3159896.0,10138.0,4.778169,,,,,,,,4.16,4.18,4.11,4.13,30884964,33379,4.142873,17.5,17.79,17.28,17.41,6738463.0,40180.0,17.490966
8.52,9.77,8.41,9.2,17026720,65926,9.15298,5.67,5.79,5.58,5.72,2619665,15134,5.700885,416.15,437.79,408.0001,423.43,76779427,1187825,425.275124,12.62,12.9352,12.521,12.73,4488278,32962,12.760172,,,,,,,,4.7,4.73,4.6,4.73,3696443.0,10594.0,4.676818,,,,,,,,4.07,4.15,4.07,4.14,28419554,29897,4.112766,17.0,17.32,16.72,17.18,7316156.0,42571.0,17.020761
9.2,9.77,8.91,9.47,17407513,52380,9.457564,5.71,5.74,5.57,5.67,2428464,12848,5.648347,448.74,451.0,428.8,442.15,86407031,1244892,441.891942,12.85,12.98,12.395,12.56,6358893,27264,12.617171,,,,,,,,4.76,4.89,4.68,4.86,4055778.0,11230.0,4.806932,,,,,,,,4.1,4.145,4.04,4.09,20339371,27386,4.096443,17.22,17.38,16.815,17.21,8275807.0,40857.0,17.13537
9.35,9.6,8.38,8.75,7639806,34136,8.835477,5.37,5.48,5.01,5.32,4563153,22011,5.21799,453.21,455.68,407.07,449.39,109477152,1798886,439.660191,12.25,12.43,12.07,12.375,6305829,33366,12.307894,,,,,,,,4.78,4.81,4.67,4.76,3244905.0,8359.0,4.737124,,,,,,,,3.94,3.97,3.88,3.96,29189482,38062,3.930066,16.76,16.9873,15.895,16.48,10817357.0,61816.0,16.320265
10.5,11.1699,9.9,10.56,34752484,134215,10.510206,5.22,5.32,5.14,5.21,2090061,11204,5.196579,429.27,437.76,417.6001,424.23,79580811,1406582,426.150014,12.45,14.155,12.44,13.905,20142528,102414,13.660718,,,,,,,,4.87,4.95,4.77,4.94,3316679.0,9631.0,4.873749,,,,,,,,3.96,3.99,3.9,3.98,15175316,25878,3.949518,16.49,16.61,16.12,16.47,6971917.0,37888.0,16.322969
10.58,10.86,9.92,10.04,10651152,48453,10.307387,5.22,5.29,4.74,4.78,4285151,23419,4.946115,405.43,412.15,375.8801,380.36,95373118,1813293,391.641287,14.04,14.18,13.29,13.355,6755076,44255,13.663661,,,,,,,,4.93,4.97,4.77,4.8,4556053.0,12381.0,4.835973,,,,,,,,3.97,3.98,3.87,3.88,19322558,29196,3.926194,16.44,16.69,15.54,15.73,9965116.0,59799.0,15.961042
9.71,9.81,9.01,9.14,7938838,38445,9.289255,4.69,4.9,4.3573,4.61,4569670,18942,4.613787,363.8,399.5,351.3,387.79,96561061,1444240,383.353318,13.92,14.46,13.65,13.93,13581638,69838,14.01391,,,,,,,,5.2,5.34,4.71,4.75,17292849.0,45687.0,5.020959,,,,,,,,3.83,3.88,3.81,3.84,19266953,29185,3.841519,15.5,16.34,14.92,15.92,11891000.0,63979.0,15.727233
9.19,10.1826,9.1,10.02,7515157,32376,9.828756,4.56,4.93,4.5042,4.88,2375454,13398,4.792361,393.31,408.7323,391.3,407.34,67208600,1013853,402.609817,14.25,14.74,13.965,14.53,9370105,53329,14.430295,,,,,,,,4.81,4.88,4.675,4.77,5590815.0,14707.0,4.744669,,,,,,,,3.77,3.79,3.72,3.78,32637615,59809,3.761236,15.91,16.47,15.87,16.43,5428466.0,31204.0,16.19723
10.16,10.26,9.55,10.09,6764323,31560,9.890568,5.0,5.04,4.61,4.91,4676540,19602,4.825955,424.79,428.08,415.55,421.2,49719963,861906,420.606445,14.76,15.33,14.17,14.88,9338913,58240,14.903106,,,,,,,,4.88,4.88,4.6,4.61,7265685.0,18072.0,4.678213,,,,,,,,3.85,3.94,3.83,3.9,28025479,32540,3.881857,18.6,20.78,18.1,20.51,54571718.0,240178.0,19.717798
10.0,10.65,9.93,10.35,5244339,24801,10.412283,4.88,4.94,4.75,4.86,2521765,11367,4.831137,416.0,428.5,411.6,419.07,50341531,832459,420.756253,14.84,14.899,14.25,14.51,6956667,46961,14.548769,,,,,,,,4.63,4.6878,4.49,4.63,5846179.0,15531.0,4.610396,,,,,,,,3.96,4.04,3.93,3.95,25068342,31658,3.974919,20.75,20.98,19.59,20.44,32274095.0,130398.0,20.393766
10.25,10.7597,10.06,10.2,6077328,25781,10.424581,4.8,4.95,4.7,4.71,2515422,10904,4.806333,420.9,433.93,420.47,429.01,48149710,805610,428.874962,14.36,15.38,14.31,14.98,11871828,68800,15.015065,,,,,,,,4.65,4.76,4.58,4.59,3808542.0,11497.0,4.654737,10.0,11.42,9.11,9.5,338739786.0,811865.0,10.320915,3.94,3.98,3.9,3.91,24780794,26457,3.937928,20.03,20.85,18.96,19.23,19632189.0,91446.0,19.728006
10.09,10.25,9.69,9.77,4554055,25426,9.868684,4.74,4.8,4.63,4.65,3223808,14830,4.678357,440.9,448.88,434.42,448.16,50741875,871459,442.266381,18.25,20.37,17.95,18.745,83846569,345333,19.189068,,,,,,,,4.59,4.64,4.52,4.58,4971185.0,13314.0,4.58261,9.7,10.1,9.23,9.46,124298587.0,390407.0,9.588687,3.9,3.915,3.84,3.87,17027990,25287,3.867732,19.25,20.37,19.15,20.17,13913884.0,68426.0,19.926482
9.38,9.78,9.3,9.39,4340484,20710,9.488435,4.48,4.66,4.42,4.65,3575994,14640,4.561359,421.42,439.13,415.0,415.09,71430276,1312394,426.051449,18.35,20.9,18.21,20.6,33588765,169518,20.310388,,,,,,,,4.49,4.5,4.37,4.44,6539262.0,15940.0,4.432149,9.0,9.28,8.94,9.2,55018643.0,175319.0,9.128339,3.8,3.86,3.8,3.82,19307665,34741,3.823688,18.99,20.91,18.82,20.77,19567446.0,87168.0,20.154942
9.44,9.59,9.2502,9.46,2804969,16077,9.39725,4.3,4.36,4.05,4.13,9469797,33110,4.172389,423.11,433.64,419.33,425.68,44722809,760365,425.45254,21.21,22.12,20.38,20.49,20734517,105198,20.991356,,,,,,,,4.46,4.51,4.43,4.5,3106256.0,7902.0,4.472892,9.4,9.49,8.92,9.03,36316878.0,131667.0,9.102284,3.95,3.96,3.88,3.93,15811376,23612,3.927293,21.16,21.64,20.56,21.01,13252880.0,70725.0,21.103097
9.58,9.835,9.1,9.13,4535421,23085,9.482669,4.25,4.27,4.05,4.06,8404181,24178,4.153701,423.72,428.7799,406.05,413.98,49146554,868261,417.969584,20.56,21.28,19.7,19.97,16863053,95273,20.562358,,,,,,,,4.53,4.68,4.51,4.55,3966064.0,9933.0,4.585464,9.02,10.18,8.9,9.9,90865039.0,243321.0,9.679946,3.98,4.0,3.87,3.91,23824323,28459,3.947546,21.29,22.53,20.8,21.03,23874287.0,112890.0,21.774299
9.23,9.56,9.1678,9.36,3308644,18065,9.392445,4.08,4.11,3.94,4.04,6917700,23711,4.034614,420.0,429.9,413.845,425.3,43127759,697609,423.236223,20.34,21.45,20.34,20.85,12436065,66068,20.966902,,,,,,,,4.6,4.64,4.52,4.57,2166932.0,6497.0,4.569987,10.0,10.49,9.99,10.0,54672419.0,178584.0,10.255571,3.9,3.92,3.86,3.9,15216504,28464,3.890906,21.6,22.2597,21.5215,21.82,13066119.0,64117.0,21.945164
9.47,13.64,9.19,13.49,76453557,264928,12.241957,4.13,4.185,4.02,4.14,7868481,25930,4.116444,438.57,439.0,425.3,425.92,40421127,653968,432.30527,21.0,21.865,20.69,21.76,7960566,50666,21.331869,,,,,,,,4.6,4.6399,4.54,4.6,2154113.0,6445.0,4.583888,10.3,10.4,9.99,10.0,34989671.0,113548.0,10.199421,3.9,3.98,3.89,3.95,19386159,29410,3.932458,22.45,22.54,21.55,22.09,10147657.0,55389.0,22.035712
12.83,14.8,11.9,12.02,77152780,296928,13.412139,4.18,4.18,4.04,4.05,5022106,18356,4.085087,430.13,434.5899,426.4601,434.0,29234319,480868,431.906425,21.96,22.09,21.365,21.46,8077753,46950,21.675851,,,,,,,,4.62,4.74,4.61,4.73,2618171.0,6892.0,4.684059,10.19,10.19,9.89,9.95,19653450.0,62989.0,10.018604,4.07,4.13,4.02,4.03,35652878,53019,4.064335,22.14,22.203,21.31,21.4,10078183.0,59607.0,21.61618
11.67,12.7662,11.4,11.8,23655708,94927,12.068511,4.03,4.09,4.0,4.08,3245671,14397,4.05303,442.0,448.74,438.58,442.3,38793366,682641,443.214834,21.4,21.92,21.4,21.55,5892871,36505,21.643774,,,,,,,,4.75,4.83,4.74,4.75,2268273.0,6592.0,4.782613,10.0,10.05,9.66,9.89,20623565.0,66985.0,9.934879,4.05,4.06,4.01,4.03,18341227,27318,4.034291,21.45,21.5,20.55,20.57,8702401.0,56274.0,20.995438
11.73,12.42,11.65,11.88,10179708,45687,12.001537,3.9,3.91,3.52,3.54,10164744,38486,3.712521,443.54,448.89,436.6,446.65,34527765,602363,444.529095,21.08,22.64,21.04,22.145,9540692,49333,22.08077,,,,,,,,4.75,5.23,4.75,5.14,10691064.0,24599.0,5.112377,9.88,9.88,9.41,9.47,21856027.0,83404.0,9.560138,4.08,4.08,4.01,4.04,19771400,28857,4.043215,20.5,21.98,19.92,21.81,13081197.0,64402.0,21.204231
12.67,12.68,12.05,12.25,10776762,51153,12.362421,3.06,3.2,2.66,2.96,31761290,82664,2.949573,449.94,465.9,447.35,461.3,48045473,839946,459.525721,23.21,24.26,22.9,23.945,25575766,103399,23.790805,,,,,,,,5.15,5.25,5.0215,5.08,5209616.0,15012.0,5.128374,9.5,9.66,9.29,9.34,13785097.0,58332.0,9.436973,4.05,4.1,4.03,4.08,20988920,31423,4.075381,21.88,21.95,20.98,21.33,8391716.0,51023.0,21.360566
11.99,15.1,11.99,13.83,39914266,181183,13.813621,2.84,2.96,2.76,2.78,9808591,31003,2.836629,450.93,456.57,442.5,448.88,35672354,644704,448.748851,23.36,24.99,23.29,24.96,10428883,63690,24.401715,,,,,,,,4.98,5.17,4.97,5.16,4453800.0,11234.0,5.102881,9.25,9.91,9.18,9.91,12924093.0,47364.0,9.531824,4.0,4.04,3.975,4.04,15456560,25334,4.01581,20.9,21.86,20.66,21.64,7764694.0,44913.0,21.431056
13.72,13.9,13.08,13.31,11651578,56698,13.409646,2.87,3.29,2.8,3.04,18565805,50499,3.060056,454.2,455.9499,438.85,439.67,32775881,576323,447.798285,25.02,25.755,24.825,24.835,11420521,62425,25.338106,,,,,,,,5.2,5.2101,4.97,4.98,5989984.0,15540.0,5.093997,9.9,9.95,9.66,9.71,11142464.0,46916.0,9.76486,4.04,4.07,4.02,4.03,13354960,21694,4.036569,22.0,23.4,21.87,22.44,23733442.0,116312.0,22.811214
